,method,s,N,k,iter,error,diff_max,time
0,DI,100,1999,1,1,5.19805067555498e-15,1.5543122344752192e-15,0.001257299998542294
1,WMI,100,1999,1,1,5.232701569625356e-15,1.7763568394002505e-15,8.080000407062471e-05
2,ISM,100,1999,1,1,5.233122077259851e-15,1.7763568394002505e-15,0.00011819999781437218
3,DI,100,1999,1,2,5.19805067555498e-15,1.5543122344752192e-15,0.0014999000122770667
4,WMI,100,1999,1,2,5.232701569625356e-15,1.7763568394002505e-15,4.430001717992127e-05
5,ISM,100,1999,1,2,5.233122077259851e-15,1.7763568394002505e-15,8.249998791143298e-05
6,DI,100,1999,1,3,5.19805067555498e-15,1.5543122344752192e-15,0.0016447000089101493
7,WMI,100,1999,1,3,5.232701569625356e-15,1.7763568394002505e-15,9.509999654255807e-05
8,ISM,100,1999,1,3,5.233122077259851e-15,1.7763568394002505e-15,0.00011210000957362354
9,DI,100,1999,1,4,5.19805067555498e-15,1.5543122344752192e-15,0.0014425000117626041
10,WMI,100,1999,1,4,5.232701569625356e-15,1.7763568394002505e-15,8.100000559352338e-05
11,ISM,100,1999,1,4,5.233122077259851e-15,1.7763568394002505e-15,6.989997928030789e-05
12,DI,100,1999,1,5,5.19805067555498e-15,1.5543122344752192e-15,0.0013031999988015741
13,WMI,100,1999,1,5,5.232701569625356e-15,1.7763568394002505e-15,8.690002141520381e-05
14,ISM,100,1999,1,5,5.233122077259851e-15,1.7763568394002505e-15,7.949999417178333e-05
15,DI,100,1999,1,6,5.19805067555498e-15,1.5543122344752192e-15,0.0013309000059962273
16,WMI,100,1999,1,6,5.232701569625356e-15,1.7763568394002505e-15,4.7999987145885825e-05
17,ISM,100,1999,1,6,5.233122077259851e-15,1.7763568394002505e-15,3.9399979868903756e-05
18,DI,100,1999,1,7,5.19805067555498e-15,1.5543122344752192e-15,0.0013306000037118793
19,WMI,100,1999,1,7,5.232701569625356e-15,1.7763568394002505e-15,3.9300008211284876e-05
20,ISM,100,1999,1,7,5.233122077259851e-15,1.7763568394002505e-15,8.369999704882503e-05
21,DI,100,1999,1,8,5.19805067555498e-15,1.5543122344752192e-15,0.0014084999857004732
22,WMI,100,1999,1,8,5.232701569625356e-15,1.7763568394002505e-15,7.579999510198832e-05
23,ISM,100,1999,1,8,5.233122077259851e-15,1.7763568394002505e-15,6.560000474564731e-05
24,DI,100,1999,1,9,5.19805067555498e-15,1.5543122344752192e-15,0.0013458000030368567
25,WMI,100,1999,1,9,5.232701569625356e-15,1.7763568394002505e-15,4.329998046159744e-05
