,method,s,N,k,iter,error,diff_max,time
0,DI,1287,1999,1,1,1.5801822001818968e-13,5.773159728050814e-15,0.08704542089253664
1,WMI,1287,1999,1,1,1.583326733961206e-13,6.661338147750939e-15,0.011337263975292444
2,ISM,1287,1999,1,1,1.5829987282700226e-13,6.661338147750939e-15,0.011218375992029905
3,DI,1287,1999,1,2,1.5801822001818968e-13,5.773159728050814e-15,0.0854033560026437
4,WMI,1287,1999,1,2,1.583326733961206e-13,6.661338147750939e-15,0.011234845966100693
5,ISM,1287,1999,1,2,1.5829987282700226e-13,6.661338147750939e-15,0.004139365861192346
6,DI,1287,1999,1,3,1.5801822001818968e-13,5.773159728050814e-15,0.07637640601024032
7,WMI,1287,1999,1,3,1.583326733961206e-13,6.661338147750939e-15,0.003931798972189426
8,ISM,1287,1999,1,3,1.5829987282700226e-13,6.661338147750939e-15,0.011234815930947661
9,DI,1287,1999,1,4,1.5801822001818968e-13,5.773159728050814e-15,0.07737734098918736
10,WMI,1287,1999,1,4,1.583326733961206e-13,6.661338147750939e-15,0.004152276087552309
11,ISM,1287,1999,1,4,1.5829987282700226e-13,6.661338147750939e-15,0.004003367852419615
12,DI,1287,1999,1,5,1.5801822001818968e-13,5.773159728050814e-15,0.08868926600553095
13,WMI,1287,1999,1,5,1.583326733961206e-13,6.661338147750939e-15,0.011764697963371873
14,ISM,1287,1999,1,5,1.5829987282700226e-13,6.661338147750939e-15,0.004107247106730938
15,DI,1287,1999,1,6,1.5801822001818968e-13,5.773159728050814e-15,0.07851885305717587
16,WMI,1287,1999,1,6,1.583326733961206e-13,6.661338147750939e-15,0.004133996088057756
17,ISM,1287,1999,1,6,1.5829987282700226e-13,6.661338147750939e-15,0.011521181091666222
18,DI,1287,1999,1,7,1.5801822001818968e-13,5.773159728050814e-15,0.0780931799672544
19,WMI,1287,1999,1,7,1.583326733961206e-13,6.661338147750939e-15,0.004093346884474158
20,ISM,1287,1999,1,7,1.5829987282700226e-13,6.661338147750939e-15,0.004081017104908824
21,DI,1287,1999,1,8,1.5801822001818968e-13,5.773159728050814e-15,0.09207743313163519
22,WMI,1287,1999,1,8,1.583326733961206e-13,6.661338147750939e-15,0.011969444109126925
23,ISM,1287,1999,1,8,1.5829987282700226e-13,6.661338147750939e-15,0.004113456001505256
24,DI,1287,1999,1,9,1.5801822001818968e-13,5.773159728050814e-15,0.07850520289503038
25,WMI,1287,1999,1,9,1.583326733961206e-13,6.661338147750939e-15,0.004220865201205015
26,ISM,1287,1999,1,9,1.5829987282700226e-13,6.661338147750939e-15,0.01147967204451561
27,DI,1287,1999,1,10,1.5801822001818968e-13,5.773159728050814e-15,0.08123033097945154
28,WMI,1287,1999,1,10,1.583326733961206e-13,6.661338147750939e-15,0.004024768015369773
29,ISM,1287,1999,1,10,1.5829987282700226e-13,6.661338147750939e-15,0.003818349912762642
30,DI,1287,1999,1,11,1.5801822001818968e-13,5.773159728050814e-15,0.08595464797690511
31,WMI,1287,1999,1,11,1.583326733961206e-13,6.661338147750939e-15,0.012028212891891599
32,ISM,1287,1999,1,11,1.5829987282700226e-13,6.661338147750939e-15,0.003951109014451504
33,DI,1287,1999,1,12,1.5801822001818968e-13,5.773159728050814e-15,0.07759743696078658
34,WMI,1287,1999,1,12,1.583326733961206e-13,6.661338147750939e-15,0.003970677964389324
35,ISM,1287,1999,1,12,1.5829987282700226e-13,6.661338147750939e-15,0.011206635972484946
36,DI,1287,1999,1,13,1.5801822001818968e-13,5.773159728050814e-15,0.07661296310834587
37,WMI,1287,1999,1,13,1.583326733961206e-13,6.661338147750939e-15,0.004212084924802184
38,ISM,1287,1999,1,13,1.5829987282700226e-13,6.661338147750939e-15,0.004008908057585359
39,DI,1287,1999,1,14,1.5801822001818968e-13,5.773159728050814e-15,0.08930855593644083
40,WMI,1287,1999,1,14,1.583326733961206e-13,6.661338147750939e-15,0.01119532692246139
41,ISM,1287,1999,1,14,1.5829987282700226e-13,6.661338147750939e-15,0.004284402821213007
42,DI,1287,1999,1,15,1.5801822001818968e-13,5.773159728050814e-15,0.07594365300610662
43,WMI,1287,1999,1,15,1.583326733961206e-13,6.661338147750939e-15,0.003980237990617752
44,ISM,1287,1999,1,15,1.5829987282700226e-13,6.661338147750939e-15,0.011550630908459425
45,DI,1287,1999,1,16,1.5801822001818968e-13,5.773159728050814e-15,0.07690587802790105
46,WMI,1287,1999,1,16,1.583326733961206e-13,6.661338147750939e-15,0.003946478012949228
47,ISM,1287,1999,1,16,1.5829987282700226e-13,6.661338147750939e-15,0.0038630198687314987
48,DI,1287,1999,1,17,1.5801822001818968e-13,5.773159728050814e-15,0.08829740108922124
49,WMI,1287,1999,1,17,1.583326733961206e-13,6.661338147750939e-15,0.011534951161593199
50,ISM,1287,1999,1,17,1.5829987282700226e-13,6.661338147750939e-15,0.004146946128457785
51,DI,1287,1999,1,18,1.5801822001818968e-13,5.773159728050814e-15,0.07629707804881036
52,WMI,1287,1999,1,18,1.583326733961206e-13,6.661338147750939e-15,0.0038441410288214684
53,ISM,1287,1999,1,18,1.5829987282700226e-13,6.661338147750939e-15,0.011140486923977733
54,DI,1287,1999,1,19,1.5801822001818968e-13,5.773159728050814e-15,0.0768248790409416
55,WMI,1287,1999,1,19,1.583326733961206e-13,6.661338147750939e-15,0.004139425931498408
56,ISM,1287,1999,1,19,1.5829987282700226e-13,6.661338147750939e-15,0.004062826978042722
57,DI,1287,1999,1,20,1.5801822001818968e-13,5.773159728050814e-15,0.08674367587082088
58,WMI,1287,1999,1,20,1.583326733961206e-13,6.661338147750939e-15,0.011443512979894876
59,ISM,1287,1999,1,20,1.5829987282700226e-13,6.661338147750939e-15,0.00405700714327395
60,DI,1287,1999,1,21,1.5801822001818968e-13,5.773159728050814e-15,0.07808984909206629
61,WMI,1287,1999,1,21,1.583326733961206e-13,6.661338147750939e-15,0.004078306956216693
62,ISM,1287,1999,1,21,1.5829987282700226e-13,6.661338147750939e-15,0.012146942084655166
63,DI,1287,1999,1,22,1.5801822001818968e-13,5.773159728050814e-15,0.08299643406644464
64,WMI,1287,1999,1,22,1.583326733961206e-13,6.661338147750939e-15,0.004351262003183365
65,ISM,1287,1999,1,22,1.5829987282700226e-13,6.661338147750939e-15,0.004103435901924968
66,DI,1287,1999,1,23,1.5801822001818968e-13,5.773159728050814e-15,0.0885716371703893
67,WMI,1287,1999,1,23,1.583326733961206e-13,6.661338147750939e-15,0.011446713004261255
68,ISM,1287,1999,1,23,1.5829987282700226e-13,6.661338147750939e-15,0.004059507045894861
69,DI,1287,1999,1,24,1.5801822001818968e-13,5.773159728050814e-15,0.08063312992453575
70,WMI,1287,1999,1,24,1.583326733961206e-13,6.661338147750939e-15,0.004198865033686161
71,ISM,1287,1999,1,24,1.5829987282700226e-13,6.661338147750939e-15,0.011664079036563635
72,DI,1287,1999,1,25,1.5801822001818968e-13,5.773159728050814e-15,0.0792751011904329
73,WMI,1287,1999,1,25,1.583326733961206e-13,6.661338147750939e-15,0.004077706951647997
74,ISM,1287,1999,1,25,1.5829987282700226e-13,6.661338147750939e-15,0.00417271489277482
75,DI,1287,1999,1,26,1.5801822001818968e-13,5.773159728050814e-15,0.09053315594792366
76,WMI,1287,1999,1,26,1.583326733961206e-13,6.661338147750939e-15,0.007827207911759615
77,ISM,1287,1999,1,26,1.5829987282700226e-13,6.661338147750939e-15,0.00795666710473597
78,DI,1287,1999,1,27,1.5801822001818968e-13,5.773159728050814e-15,0.08843274903483689
79,WMI,1287,1999,1,27,1.583326733961206e-13,6.661338147750939e-15,0.008024655049666762
80,ISM,1287,1999,1,27,1.5829987282700226e-13,6.661338147750939e-15,0.00782053917646408
81,DI,1287,1999,1,28,1.5801822001818968e-13,5.773159728050814e-15,0.08486015419475734
82,WMI,1287,1999,1,28,1.583326733961206e-13,6.661338147750939e-15,0.007881388068199158
83,ISM,1287,1999,1,28,1.5829987282700226e-13,6.661338147750939e-15,0.007531242910772562
84,DI,1287,1999,1,29,1.5801822001818968e-13,5.773159728050814e-15,0.08473168592900038
85,WMI,1287,1999,1,29,1.583326733961206e-13,6.661338147750939e-15,0.007464283844456077
86,ISM,1287,1999,1,29,1.5829987282700226e-13,6.661338147750939e-15,0.007699949899688363
87,DI,1287,1999,1,30,1.5801822001818968e-13,5.773159728050814e-15,0.08586940006352961
88,WMI,1287,1999,1,30,1.583326733961206e-13,6.661338147750939e-15,0.007669101003557444
89,ISM,1287,1999,1,30,1.5829987282700226e-13,6.661338147750939e-15,0.007315956987440586
90,DI,1287,1999,1,31,1.5801822001818968e-13,5.773159728050814e-15,0.08682727394625545
91,WMI,1287,1999,1,31,1.583326733961206e-13,6.661338147750939e-15,0.007592201931402087
92,ISM,1287,1999,1,31,1.5829987282700226e-13,6.661338147750939e-15,0.0075000738725066185
93,DI,1287,1999,1,32,1.5801822001818968e-13,5.773159728050814e-15,0.08670992590487003
94,WMI,1287,1999,1,32,1.583326733961206e-13,6.661338147750939e-15,0.007663381984457374
95,ISM,1287,1999,1,32,1.5829987282700226e-13,6.661338147750939e-15,0.007668970851227641
96,DI,1287,1999,1,33,1.5801822001818968e-13,5.773159728050814e-15,0.0871370299719274
97,WMI,1287,1999,1,33,1.583326733961206e-13,6.661338147750939e-15,0.0078039090149104595
98,ISM,1287,1999,1,33,1.5829987282700226e-13,6.661338147750939e-15,0.007683690870180726
99,DI,1287,1999,1,34,1.5801822001818968e-13,5.773159728050814e-15,0.08654766902327538
100,WMI,1287,1999,1,34,1.583326733961206e-13,6.661338147750939e-15,0.0077451299875974655
101,ISM,1287,1999,1,34,1.5829987282700226e-13,6.661338147750939e-15,0.007963316049426794
102,DI,1287,1999,1,35,1.5801822001818968e-13,5.773159728050814e-15,0.08533195685595274
103,WMI,1287,1999,1,35,1.583326733961206e-13,6.661338147750939e-15,0.007748249918222427
104,ISM,1287,1999,1,35,1.5829987282700226e-13,6.661338147750939e-15,0.007822138955816627
105,DI,1287,1999,1,36,1.5801822001818968e-13,5.773159728050814e-15,0.08679252513684332
106,WMI,1287,1999,1,36,1.583326733961206e-13,6.661338147750939e-15,0.008106695022433996
107,ISM,1287,1999,1,36,1.5829987282700226e-13,6.661338147750939e-15,0.007676750887185335
108,DI,1287,1999,1,37,1.5801822001818968e-13,5.773159728050814e-15,0.08759994292631745
109,WMI,1287,1999,1,37,1.583326733961206e-13,6.661338147750939e-15,0.007967615965753794
110,ISM,1287,1999,1,37,1.5829987282700226e-13,6.661338147750939e-15,0.0074693148490041494
111,DI,1287,1999,1,38,1.5801822001818968e-13,5.773159728050814e-15,0.08599566691555083
112,WMI,1287,1999,1,38,1.583326733961206e-13,6.661338147750939e-15,0.007938656955957413
113,ISM,1287,1999,1,38,1.5829987282700226e-13,6.661338147750939e-15,0.0079950459767133
114,DI,1287,1999,1,39,1.5801822001818968e-13,5.773159728050814e-15,0.08559935307130218
115,WMI,1287,1999,1,39,1.583326733961206e-13,6.661338147750939e-15,0.008166064042598009
116,ISM,1287,1999,1,39,1.5829987282700226e-13,6.661338147750939e-15,0.00810411386191845
117,DI,1287,1999,1,40,1.5801822001818968e-13,5.773159728050814e-15,0.08810176397673786
118,WMI,1287,1999,1,40,1.583326733961206e-13,6.661338147750939e-15,0.008148414082825184
119,ISM,1287,1999,1,40,1.5829987282700226e-13,6.661338147750939e-15,0.007925896905362606
120,DI,1287,1999,1,41,1.5801822001818968e-13,5.773159728050814e-15,0.09139129403047264
121,WMI,1287,1999,1,41,1.583326733961206e-13,6.661338147750939e-15,0.008810383966192603
122,ISM,1287,1999,1,41,1.5829987282700226e-13,6.661338147750939e-15,0.008774413960054517
123,DI,1287,1999,1,42,1.5801822001818968e-13,5.773159728050814e-15,0.08887177309952676
124,WMI,1287,1999,1,42,1.583326733961206e-13,6.661338147750939e-15,0.0077979788184165955
125,ISM,1287,1999,1,42,1.5829987282700226e-13,6.661338147750939e-15,0.00820898194797337
126,DI,1287,1999,1,43,1.5801822001818968e-13,5.773159728050814e-15,0.08792245713993907
127,WMI,1287,1999,1,43,1.583326733961206e-13,6.661338147750939e-15,0.008042174857109785
128,ISM,1287,1999,1,43,1.5829987282700226e-13,6.661338147750939e-15,0.008225672179833055
129,DI,1287,1999,1,44,1.5801822001818968e-13,5.773159728050814e-15,0.08871432510204613
