,method,s,N,k,iter,error,diff_max,time
0,DI,1000,1999,1,1,5.5822232161211777e-14,2.9976021664879227e-15,0.05733549999422394
1,WMI,1000,1999,1,1,5.688019030080238e-14,3.1086244689504383e-15,0.007006400002865121
2,ISM,1000,1999,1,1,5.684691455974045e-14,2.6645352591003757e-15,0.008026299998164177
3,DI,1000,1999,1,2,5.5822232161211777e-14,2.9976021664879227e-15,0.06467689998680726
4,WMI,1000,1999,1,2,5.688019030080238e-14,3.1086244689504383e-15,0.0066992000211030245
5,ISM,1000,1999,1,2,5.684691455974045e-14,2.6645352591003757e-15,0.006817999994382262
6,DI,1000,1999,1,3,5.5822232161211777e-14,2.9976021664879227e-15,0.05624959999113344
7,WMI,1000,1999,1,3,5.688019030080238e-14,3.1086244689504383e-15,0.006886599992867559
8,ISM,1000,1999,1,3,5.684691455974045e-14,2.6645352591003757e-15,0.00693689999752678
9,DI,1000,1999,1,4,5.5822232161211777e-14,2.9976021664879227e-15,0.0665824000025168
10,WMI,1000,1999,1,4,5.688019030080238e-14,3.1086244689504383e-15,0.008366900001419708
11,ISM,1000,1999,1,4,5.684691455974045e-14,2.6645352591003757e-15,0.0070318999933078885
12,DI,1000,1999,1,5,5.5822232161211777e-14,2.9976021664879227e-15,0.059026500006439164
13,WMI,1000,1999,1,5,5.688019030080238e-14,3.1086244689504383e-15,0.006619699997827411
14,ISM,1000,1999,1,5,5.684691455974045e-14,2.6645352591003757e-15,0.007022099976893514
15,DI,1000,1999,1,6,5.5822232161211777e-14,2.9976021664879227e-15,0.05505799999809824
16,WMI,1000,1999,1,6,5.688019030080238e-14,3.1086244689504383e-15,0.006932699994649738
17,ISM,1000,1999,1,6,5.684691455974045e-14,2.6645352591003757e-15,0.006680099992081523
18,DI,1000,1999,1,7,5.5822232161211777e-14,2.9976021664879227e-15,0.060506599984364584
19,WMI,1000,1999,1,7,5.688019030080238e-14,3.1086244689504383e-15,0.0067516999843064696
20,ISM,1000,1999,1,7,5.684691455974045e-14,2.6645352591003757e-15,0.006629800016526133
21,DI,1000,1999,1,8,5.5822232161211777e-14,2.9976021664879227e-15,0.06472749999375083
22,WMI,1000,1999,1,8,5.688019030080238e-14,3.1086244689504383e-15,0.00860060000559315
23,ISM,1000,1999,1,8,5.684691455974045e-14,2.6645352591003757e-15,0.006222299998626113
24,DI,1000,1999,1,9,5.5822232161211777e-14,2.9976021664879227e-15,0.06536159999086522
25,WMI,1000,1999,1,9,5.688019030080238e-14,3.1086244689504383e-15,0.007470100012142211
26,ISM,1000,1999,1,9,5.684691455974045e-14,2.6645352591003757e-15,0.006357300007948652
27,DI,1000,1999,1,10,5.5822232161211777e-14,2.9976021664879227e-15,0.05447610002011061
28,WMI,1000,1999,1,10,5.688019030080238e-14,3.1086244689504383e-15,0.006625200010603294
29,ISM,1000,1999,1,10,5.684691455974045e-14,2.6645352591003757e-15,0.006667600013315678
30,DI,1000,1999,1,11,5.5822232161211777e-14,2.9976021664879227e-15,0.0566019999969285
31,WMI,1000,1999,1,11,5.688019030080238e-14,3.1086244689504383e-15,0.006758899980923161
32,ISM,1000,1999,1,11,5.684691455974045e-14,2.6645352591003757e-15,0.006448799977079034
33,DI,1000,1999,1,12,5.5822232161211777e-14,2.9976021664879227e-15,0.058765399997355416
34,WMI,1000,1999,1,12,5.688019030080238e-14,3.1086244689504383e-15,0.006430599984014407
35,ISM,1000,1999,1,12,5.684691455974045e-14,2.6645352591003757e-15,0.00646720000077039
36,DI,1000,1999,1,13,5.5822232161211777e-14,2.9976021664879227e-15,0.055303300003288314
37,WMI,1000,1999,1,13,5.688019030080238e-14,3.1086244689504383e-15,0.006279499997617677
38,ISM,1000,1999,1,13,5.684691455974045e-14,2.6645352591003757e-15,0.0070164999924600124
39,DI,1000,1999,1,14,5.5822232161211777e-14,2.9976021664879227e-15,0.059442799974931404
40,WMI,1000,1999,1,14,5.688019030080238e-14,3.1086244689504383e-15,0.0064830000046640635
41,ISM,1000,1999,1,14,5.684691455974045e-14,2.6645352591003757e-15,0.0063445999985560775
42,DI,1000,1999,1,15,5.5822232161211777e-14,2.9976021664879227e-15,0.06084949997602962
43,WMI,1000,1999,1,15,5.688019030080238e-14,3.1086244689504383e-15,0.006382899999152869
44,ISM,1000,1999,1,15,5.684691455974045e-14,2.6645352591003757e-15,0.006332799996016547
45,DI,1000,1999,1,16,5.5822232161211777e-14,2.9976021664879227e-15,0.057666300010168925
46,WMI,1000,1999,1,16,5.688019030080238e-14,3.1086244689504383e-15,0.0071490000118501484
47,ISM,1000,1999,1,16,5.684691455974045e-14,2.6645352591003757e-15,0.006640700012212619
48,DI,1000,1999,1,17,5.5822232161211777e-14,2.9976021664879227e-15,0.05616579999332316
49,WMI,1000,1999,1,17,5.688019030080238e-14,3.1086244689504383e-15,0.008189100015442818
50,ISM,1000,1999,1,17,5.684691455974045e-14,2.6645352591003757e-15,0.006726299994625151
51,DI,1000,1999,1,18,5.5822232161211777e-14,2.9976021664879227e-15,0.058035199996083975
52,WMI,1000,1999,1,18,5.688019030080238e-14,3.1086244689504383e-15,0.006683699990389869
53,ISM,1000,1999,1,18,5.684691455974045e-14,2.6645352591003757e-15,0.007098100002622232
54,DI,1000,1999,1,19,5.5822232161211777e-14,2.9976021664879227e-15,0.05826269998215139
55,WMI,1000,1999,1,19,5.688019030080238e-14,3.1086244689504383e-15,0.006708300003083423
56,ISM,1000,1999,1,19,5.684691455974045e-14,2.6645352591003757e-15,0.006276200001593679
57,DI,1000,1999,1,20,5.5822232161211777e-14,2.9976021664879227e-15,0.06198759999824688
58,WMI,1000,1999,1,20,5.688019030080238e-14,3.1086244689504383e-15,0.007955900015076622
59,ISM,1000,1999,1,20,5.684691455974045e-14,2.6645352591003757e-15,0.006427799991797656
60,DI,1000,1999,1,21,5.5822232161211777e-14,2.9976021664879227e-15,0.05468450000626035
61,WMI,1000,1999,1,21,5.688019030080238e-14,3.1086244689504383e-15,0.0070466999895870686
62,ISM,1000,1999,1,21,5.684691455974045e-14,2.6645352591003757e-15,0.006233299995074049
63,DI,1000,1999,1,22,5.5822232161211777e-14,2.9976021664879227e-15,0.05642420001095161
64,WMI,1000,1999,1,22,5.688019030080238e-14,3.1086244689504383e-15,0.008237400004873052
65,ISM,1000,1999,1,22,5.684691455974045e-14,2.6645352591003757e-15,0.007907799998065457
66,DI,1000,1999,1,23,5.5822232161211777e-14,2.9976021664879227e-15,0.06164170001284219
67,WMI,1000,1999,1,23,5.688019030080238e-14,3.1086244689504383e-15,0.010837800014996901
68,ISM,1000,1999,1,23,5.684691455974045e-14,2.6645352591003757e-15,0.008805399993434548
69,DI,1000,1999,1,24,5.5822232161211777e-14,2.9976021664879227e-15,0.06877700000768527
70,WMI,1000,1999,1,24,5.688019030080238e-14,3.1086244689504383e-15,0.008605500013800338
71,ISM,1000,1999,1,24,5.684691455974045e-14,2.6645352591003757e-15,0.008475199982058257
72,DI,1000,1999,1,25,5.5822232161211777e-14,2.9976021664879227e-15,0.06088510001427494
73,WMI,1000,1999,1,25,5.688019030080238e-14,3.1086244689504383e-15,0.008114099997328594
74,ISM,1000,1999,1,25,5.684691455974045e-14,2.6645352591003757e-15,0.008290400000987574
75,DI,1000,1999,1,26,5.5822232161211777e-14,2.9976021664879227e-15,0.07774720000452362
76,WMI,1000,1999,1,26,5.688019030080238e-14,3.1086244689504383e-15,0.009525800007395446
77,ISM,1000,1999,1,26,5.684691455974045e-14,2.6645352591003757e-15,0.010306699987268075
78,DI,1000,1999,1,27,5.5822232161211777e-14,2.9976021664879227e-15,0.07634710002457723
79,WMI,1000,1999,1,27,5.688019030080238e-14,3.1086244689504383e-15,0.009776799997780472
80,ISM,1000,1999,1,27,5.684691455974045e-14,2.6645352591003757e-15,0.010048900003312156
81,DI,1000,1999,1,28,5.5822232161211777e-14,2.9976021664879227e-15,0.07537820001016371
82,WMI,1000,1999,1,28,5.688019030080238e-14,3.1086244689504383e-15,0.007259300007717684
83,ISM,1000,1999,1,28,5.684691455974045e-14,2.6645352591003757e-15,0.008014599996386096
84,DI,1000,1999,1,29,5.5822232161211777e-14,2.9976021664879227e-15,0.07748680000077002
85,WMI,1000,1999,1,29,5.688019030080238e-14,3.1086244689504383e-15,0.00856069999281317
86,ISM,1000,1999,1,29,5.684691455974045e-14,2.6645352591003757e-15,0.010422599996672943
87,DI,1000,1999,1,30,5.5822232161211777e-14,2.9976021664879227e-15,0.07459380000364035
88,WMI,1000,1999,1,30,5.688019030080238e-14,3.1086244689504383e-15,0.010311799996998161
89,ISM,1000,1999,1,30,5.684691455974045e-14,2.6645352591003757e-15,0.010053999983938411
90,DI,1000,1999,1,31,5.5822232161211777e-14,2.9976021664879227e-15,0.07699709999724291
91,WMI,1000,1999,1,31,5.688019030080238e-14,3.1086244689504383e-15,0.010600000008707866
92,ISM,1000,1999,1,31,5.684691455974045e-14,2.6645352591003757e-15,0.010233999986667186
93,DI,1000,1999,1,32,5.5822232161211777e-14,2.9976021664879227e-15,0.07308440000633709
94,WMI,1000,1999,1,32,5.688019030080238e-14,3.1086244689504383e-15,0.010516000009374693
95,ISM,1000,1999,1,32,5.684691455974045e-14,2.6645352591003757e-15,0.007637800008524209
96,DI,1000,1999,1,33,5.5822232161211777e-14,2.9976021664879227e-15,0.06767640000907704
97,WMI,1000,1999,1,33,5.688019030080238e-14,3.1086244689504383e-15,0.008612199977505952
98,ISM,1000,1999,1,33,5.684691455974045e-14,2.6645352591003757e-15,0.00762740001664497
99,DI,1000,1999,1,34,5.5822232161211777e-14,2.9976021664879227e-15,0.0628971999976784
100,WMI,1000,1999,1,34,5.688019030080238e-14,3.1086244689504383e-15,0.008605800016084686
