,method,s,N,k,iter,error,diff_max,time
0,DI,250,1999,1,1,9.74176363279568e-15,1.887379141862766e-15,0.00443150001228787
1,WMI,250,1999,1,1,1.0233141964032023e-14,1.9984014443252818e-15,0.0005220999883022159
2,ISM,250,1999,1,1,1.0241755427331446e-14,1.9984014443252818e-15,0.00037349999183788896
3,DI,250,1999,1,2,9.74176363279568e-15,1.887379141862766e-15,0.004273900005500764
4,WMI,250,1999,1,2,1.0233141964032023e-14,1.9984014443252818e-15,0.00032789999386295676
5,ISM,250,1999,1,2,1.0241755427331446e-14,1.9984014443252818e-15,0.0001451000280212611
6,DI,250,1999,1,3,9.74176363279568e-15,1.887379141862766e-15,0.00390839998726733
7,WMI,250,1999,1,3,1.0233141964032023e-14,1.9984014443252818e-15,0.0004434999718796462
8,ISM,250,1999,1,3,1.0241755427331446e-14,1.9984014443252818e-15,0.00030280000646598637
9,DI,250,1999,1,4,9.74176363279568e-15,1.887379141862766e-15,0.0046276999928522855
10,WMI,250,1999,1,4,1.0233141964032023e-14,1.9984014443252818e-15,0.0005018000083509833
11,ISM,250,1999,1,4,1.0241755427331446e-14,1.9984014443252818e-15,0.0006648999988101423
12,DI,250,1999,1,5,9.74176363279568e-15,1.887379141862766e-15,0.004595199978211895
13,WMI,250,1999,1,5,1.0233141964032023e-14,1.9984014443252818e-15,0.0004927999980282038
14,ISM,250,1999,1,5,1.0241755427331446e-14,1.9984014443252818e-15,0.0004661999992094934
15,DI,250,1999,1,6,9.74176363279568e-15,1.887379141862766e-15,0.004339100007200614
16,WMI,250,1999,1,6,1.0233141964032023e-14,1.9984014443252818e-15,0.00017630000365898013
17,ISM,250,1999,1,6,1.0241755427331446e-14,1.9984014443252818e-15,0.0002859000233002007
18,DI,250,1999,1,7,9.74176363279568e-15,1.887379141862766e-15,0.004516399989370257
19,WMI,250,1999,1,7,1.0233141964032023e-14,1.9984014443252818e-15,0.0005012000037822872
20,ISM,250,1999,1,7,1.0241755427331446e-14,1.9984014443252818e-15,0.0002945000014733523
21,DI,250,1999,1,8,9.74176363279568e-15,1.887379141862766e-15,0.004253999999491498
22,WMI,250,1999,1,8,1.0233141964032023e-14,1.9984014443252818e-15,0.0003234999894630164
23,ISM,250,1999,1,8,1.0241755427331446e-14,1.9984014443252818e-15,0.00020799998310394585
24,DI,250,1999,1,9,9.74176363279568e-15,1.887379141862766e-15,0.004268799995770678
25,WMI,250,1999,1,9,1.0233141964032023e-14,1.9984014443252818e-15,0.00043509999522939324
26,ISM,250,1999,1,9,1.0241755427331446e-14,1.9984014443252818e-15,0.00029200001154094934
27,DI,250,1999,1,10,9.74176363279568e-15,1.887379141862766e-15,0.003739699983270839
28,WMI,250,1999,1,10,1.0233141964032023e-14,1.9984014443252818e-15,0.00044260002323426306
