,method,s,N,k,iter,error,diff_max,time
0,DI,10,1999,1,1,8.892185668485894e-16,5.551115123125783e-16,7.37000082153827e-05
1,WMI,10,1999,1,1,7.038792092857886e-16,4.440892098500626e-16,9.84000216703862e-05
2,ISM,10,1999,1,1,7.041611709680388e-16,4.440892098500626e-16,4.7999987145885825e-05
3,DI,10,1999,1,2,8.892185668485894e-16,5.551115123125783e-16,3.600001218728721e-05
4,WMI,10,1999,1,2,7.038792092857886e-16,4.440892098500626e-16,3.179998020641506e-05
5,ISM,10,1999,1,2,7.041611709680388e-16,4.440892098500626e-16,2.479998511262238e-05
6,DI,10,1999,1,3,8.892185668485894e-16,5.551115123125783e-16,2.0599982235580683e-05
7,WMI,10,1999,1,3,7.038792092857886e-16,4.440892098500626e-16,2.500001573935151e-05
8,ISM,10,1999,1,3,7.041611709680388e-16,4.440892098500626e-16,1.8999999156221747e-05
9,DI,10,1999,1,4,8.892185668485894e-16,5.551115123125783e-16,1.759998849593103e-05
10,WMI,10,1999,1,4,7.038792092857886e-16,4.440892098500626e-16,2.1599989850074053e-05
11,ISM,10,1999,1,4,7.041611709680388e-16,4.440892098500626e-16,1.7200014553964138e-05
12,DI,10,1999,1,5,8.892185668485894e-16,5.551115123125783e-16,1.550000160932541e-05
13,WMI,10,1999,1,5,7.038792092857886e-16,4.440892098500626e-16,2.0500010577961802e-05
14,ISM,10,1999,1,5,7.041611709680388e-16,4.440892098500626e-16,1.8099992303177714e-05
15,DI,10,1999,1,6,8.892185668485894e-16,5.551115123125783e-16,1.4499993994832039e-05
16,WMI,10,1999,1,6,7.038792092857886e-16,4.440892098500626e-16,2.0100007532164454e-05
17,ISM,10,1999,1,6,7.041611709680388e-16,4.440892098500626e-16,1.8399994587525725e-05
18,DI,10,1999,1,7,8.892185668485894e-16,5.551115123125783e-16,1.3999990187585354e-05
19,WMI,10,1999,1,7,7.038792092857886e-16,4.440892098500626e-16,2.5699991965666413e-05
20,ISM,10,1999,1,7,7.041611709680388e-16,4.440892098500626e-16,1.6200006939470768e-05
21,DI,10,1999,1,8,8.892185668485894e-16,5.551115123125783e-16,1.2900010915473104e-05
22,WMI,10,1999,1,8,7.038792092857886e-16,4.440892098500626e-16,1.7799990018829703e-05
23,ISM,10,1999,1,8,7.041611709680388e-16,4.440892098500626e-16,1.4699995517730713e-05
24,DI,10,1999,1,9,8.892185668485894e-16,5.551115123125783e-16,1.279998105019331e-05
25,WMI,10,1999,1,9,7.038792092857886e-16,4.440892098500626e-16,1.7999991541728377e-05
26,ISM,10,1999,1,9,7.041611709680388e-16,4.440892098500626e-16,1.5400000847876072e-05
27,DI,10,1999,1,10,8.892185668485894e-16,5.551115123125783e-16,1.300001167692244e-05
28,WMI,10,1999,1,10,7.038792092857886e-16,4.440892098500626e-16,1.7999991541728377e-05
29,ISM,10,1999,1,10,7.041611709680388e-16,4.440892098500626e-16,1.4999997802078724e-05
30,DI,10,1999,1,11,8.892185668485894e-16,5.551115123125783e-16,1.3500015484169126e-05
31,WMI,10,1999,1,11,7.038792092857886e-16,4.440892098500626e-16,1.8200022168457508e-05
32,ISM,10,1999,1,11,7.041611709680388e-16,4.440892098500626e-16,1.470002462156117e-05
33,DI,10,1999,1,12,8.892185668485894e-16,5.551115123125783e-16,1.3300013961270452e-05
34,WMI,10,1999,1,12,7.038792092857886e-16,4.440892098500626e-16,1.8999999156221747e-05
35,ISM,10,1999,1,12,7.041611709680388e-16,4.440892098500626e-16,1.550000160932541e-05
36,DI,10,1999,1,13,8.892185668485894e-16,5.551115123125783e-16,1.3399985618889332e-05
37,WMI,10,1999,1,13,7.038792092857886e-16,4.440892098500626e-16,1.8399994587525725e-05
38,ISM,10,1999,1,13,7.041611709680388e-16,4.440892098500626e-16,1.4499993994832039e-05
39,DI,10,1999,1,14,8.892185668485894e-16,5.551115123125783e-16,1.300001167692244e-05
40,WMI,10,1999,1,14,7.038792092857886e-16,4.440892098500626e-16,1.8300022929906845e-05
41,ISM,10,1999,1,14,7.041611709680388e-16,4.440892098500626e-16,1.4899997040629387e-05
42,DI,10,1999,1,15,8.892185668485894e-16,5.551115123125783e-16,1.2699980288743973e-05
43,WMI,10,1999,1,15,7.038792092857886e-16,4.440892098500626e-16,1.930000144056976e-05
44,ISM,10,1999,1,15,7.041611709680388e-16,4.440892098500626e-16,1.4299992471933365e-05
45,DI,10,1999,1,16,8.892185668485894e-16,5.551115123125783e-16,1.2300006346777081e-05
46,WMI,10,1999,1,16,7.038792092857886e-16,4.440892098500626e-16,1.719998545013368e-05
47,ISM,10,1999,1,16,7.041611709680388e-16,4.440892098500626e-16,1.3800017768517137e-05
48,DI,10,1999,1,17,8.892185668485894e-16,5.551115123125783e-16,1.2100004823878407e-05
49,WMI,10,1999,1,17,7.038792092857886e-16,4.440892098500626e-16,1.7099984688684344e-05
50,ISM,10,1999,1,17,7.041611709680388e-16,4.440892098500626e-16,1.3900018529966474e-05
51,DI,10,1999,1,18,8.892185668485894e-16,5.551115123125783e-16,1.2499978765845299e-05
52,WMI,10,1999,1,18,7.038792092857886e-16,4.440892098500626e-16,1.7000013031065464e-05
53,ISM,10,1999,1,18,7.041611709680388e-16,4.440892098500626e-16,1.3699987903237343e-05
54,DI,10,1999,1,19,8.892185668485894e-16,5.551115123125783e-16,1.2400007108226418e-05
55,WMI,10,1999,1,19,7.038792092857886e-16,4.440892098500626e-16,1.7000013031065464e-05
56,ISM,10,1999,1,19,7.041611709680388e-16,4.440892098500626e-16,1.379998866468668e-05
57,DI,10,1999,1,20,8.892185668485894e-16,5.551115123125783e-16,1.2100004823878407e-05
58,WMI,10,1999,1,20,7.038792092857886e-16,4.440892098500626e-16,1.650000922381878e-05
59,ISM,10,1999,1,20,7.041611709680388e-16,4.440892098500626e-16,1.37000170070678e-05
60,DI,10,1999,1,21,8.892185668485894e-16,5.551115123125783e-16,1.2100004823878407e-05
61,WMI,10,1999,1,21,7.038792092857886e-16,4.440892098500626e-16,1.6400008462369442e-05
62,ISM,10,1999,1,21,7.041611709680388e-16,4.440892098500626e-16,1.4199991710484028e-05
63,DI,10,1999,1,22,8.892185668485894e-16,5.551115123125783e-16,1.209997572004795e-05
64,WMI,10,1999,1,22,7.038792092857886e-16,4.440892098500626e-16,1.6700010746717453e-05
65,ISM,10,1999,1,22,7.041611709680388e-16,4.440892098500626e-16,1.379998866468668e-05
