,method,s,N,k,iter,error,diff_max,time
0,DI,500,1999,1,1,1.852759700922636e-14,2.220446049250313e-15,0.014131299976725131
1,WMI,500,1999,1,1,1.8510853595049594e-14,2.220446049250313e-15,0.0009550999966450036
2,ISM,500,1999,1,1,1.8475049525752445e-14,2.220446049250313e-15,0.0009414000087417662
3,DI,500,1999,1,2,1.852759700922636e-14,2.220446049250313e-15,0.012668200011830777
4,WMI,500,1999,1,2,1.8510853595049594e-14,2.220446049250313e-15,0.00091559998691082
5,ISM,500,1999,1,2,1.8475049525752445e-14,2.220446049250313e-15,0.0014932999620214105
6,DI,500,1999,1,3,1.852759700922636e-14,2.220446049250313e-15,0.010953200049698353
7,WMI,500,1999,1,3,1.8510853595049594e-14,2.220446049250313e-15,0.0009605999803170562
8,ISM,500,1999,1,3,1.8475049525752445e-14,2.220446049250313e-15,0.0009197999606840312
9,DI,500,1999,1,4,1.852759700922636e-14,2.220446049250313e-15,0.011139900016132742
10,WMI,500,1999,1,4,1.8510853595049594e-14,2.220446049250313e-15,0.0009496000129729509
11,ISM,500,1999,1,4,1.8475049525752445e-14,2.220446049250313e-15,0.0014519999967887998
12,DI,500,1999,1,5,1.852759700922636e-14,2.220446049250313e-15,0.011271599971223623
13,WMI,500,1999,1,5,1.8510853595049594e-14,2.220446049250313e-15,0.0009380000410601497
14,ISM,500,1999,1,5,1.8475049525752445e-14,2.220446049250313e-15,0.0009418000117875636
15,DI,500,1999,1,6,1.852759700922636e-14,2.220446049250313e-15,0.010923299996647984
16,WMI,500,1999,1,6,1.8510853595049594e-14,2.220446049250313e-15,0.0021604999783448875
17,ISM,500,1999,1,6,1.8475049525752445e-14,2.220446049250313e-15,0.001430500007700175
18,DI,500,1999,1,7,1.852759700922636e-14,2.220446049250313e-15,0.01135049998993054
19,WMI,500,1999,1,7,1.8510853595049594e-14,2.220446049250313e-15,0.0009161000489257276
20,ISM,500,1999,1,7,1.8475049525752445e-14,2.220446049250313e-15,0.001436999998986721
21,DI,500,1999,1,8,1.852759700922636e-14,2.220446049250313e-15,0.010746399988420308
22,WMI,500,1999,1,8,1.8510853595049594e-14,2.220446049250313e-15,0.0009152000420726836
23,ISM,500,1999,1,8,1.8475049525752445e-14,2.220446049250313e-15,0.0009454999817535281
24,DI,500,1999,1,9,1.852759700922636e-14,2.220446049250313e-15,0.010928599978797138
25,WMI,500,1999,1,9,1.8510853595049594e-14,2.220446049250313e-15,0.0015233000158332288
26,ISM,500,1999,1,9,1.8475049525752445e-14,2.220446049250313e-15,0.0012567000230774283
27,DI,500,1999,1,10,1.852759700922636e-14,2.220446049250313e-15,0.01224099996034056
28,WMI,500,1999,1,10,1.8510853595049594e-14,2.220446049250313e-15,0.0009627999970689416
29,ISM,500,1999,1,10,1.8475049525752445e-14,2.220446049250313e-15,0.0009286000276915729
30,DI,500,1999,1,11,1.852759700922636e-14,2.220446049250313e-15,0.012384400004521012
31,WMI,500,1999,1,11,1.8510853595049594e-14,2.220446049250313e-15,0.0009240999934263527
32,ISM,500,1999,1,11,1.8475049525752445e-14,2.220446049250313e-15,0.0009386999881826341
33,DI,500,1999,1,12,1.852759700922636e-14,2.220446049250313e-15,0.01081730000441894
34,WMI,500,1999,1,12,1.8510853595049594e-14,2.220446049250313e-15,0.0015284999972209334
35,ISM,500,1999,1,12,1.8475049525752445e-14,2.220446049250313e-15,0.0009569000103510916
36,DI,500,1999,1,13,1.852759700922636e-14,2.220446049250313e-15,0.011418100039009005
37,WMI,500,1999,1,13,1.8510853595049594e-14,2.220446049250313e-15,0.001866100006736815
38,ISM,500,1999,1,13,1.8475049525752445e-14,2.220446049250313e-15,0.0012119000311940908
39,DI,500,1999,1,14,1.852759700922636e-14,2.220446049250313e-15,0.01249579997966066
40,WMI,500,1999,1,14,1.8510853595049594e-14,2.220446049250313e-15,0.0014445999986492097
41,ISM,500,1999,1,14,1.8475049525752445e-14,2.220446049250313e-15,0.0010600999812595546
42,DI,500,1999,1,15,1.852759700922636e-14,2.220446049250313e-15,0.011261000006925315
