,method,s,N,k,iter,error,diff_max,time
63,DI,20,1999,1,22,1.2669572600062368e-15,8.881784197001252e-16,0.00013930001296103
64,WMI,20,1999,1,22,1.5785821891503182e-15,8.881784197001252e-16,2.039998071268201e-05
65,ISM,20,1999,1,22,1.5786090522882035e-15,8.881784197001252e-16,1.689998316578567e-05
66,DI,20,1999,1,23,1.2669572600062368e-15,8.881784197001252e-16,0.0001537999778520316
67,WMI,20,1999,1,23,1.5785821891503182e-15,8.881784197001252e-16,3.5699980799108744e-05
68,ISM,20,1999,1,23,1.5786090522882035e-15,8.881784197001252e-16,2.850001328624785e-05
69,DI,20,1999,1,24,1.2669572600062368e-15,8.881784197001252e-16,0.00016110000433400273
70,WMI,20,1999,1,24,1.5785821891503182e-15,8.881784197001252e-16,1.2300006346777081e-05
71,ISM,20,1999,1,24,1.5786090522882035e-15,8.881784197001252e-16,1.0200019460171461e-05
72,DI,20,1999,1,25,1.2669572600062368e-15,8.881784197001252e-16,0.0001348000077996403
73,WMI,20,1999,1,25,1.5785821891503182e-15,8.881784197001252e-16,3.619998460635543e-05
74,ISM,20,1999,1,25,1.5786090522882035e-15,8.881784197001252e-16,2.8300011763349175e-05
75,DI,20,1999,1,26,1.2669572600062368e-15,8.881784197001252e-16,0.00016950001008808613
76,WMI,20,1999,1,26,1.5785821891503182e-15,8.881784197001252e-16,1.279998105019331e-05
77,ISM,20,1999,1,26,1.5786090522882035e-15,8.881784197001252e-16,1.1300027836114168e-05
78,DI,20,1999,1,27,1.2669572600062368e-15,8.881784197001252e-16,0.00012929999502375722
79,WMI,20,1999,1,27,1.5785821891503182e-15,8.881784197001252e-16,1.1900003300979733e-05
80,ISM,20,1999,1,27,1.5786090522882035e-15,8.881784197001252e-16,9.899988071992993e-06
81,DI,20,1999,1,28,1.2669572600062368e-15,8.881784197001252e-16,0.00013040000339969993
82,WMI,20,1999,1,28,1.5785821891503182e-15,8.881784197001252e-16,3.559998003765941e-05
83,ISM,20,1999,1,28,1.5786090522882035e-15,8.881784197001252e-16,2.789997961372137e-05
84,DI,20,1999,1,29,1.2669572600062368e-15,8.881784197001252e-16,0.00018670002464205027
85,WMI,20,1999,1,29,1.5785821891503182e-15,8.881784197001252e-16,2.090001362375915e-05
86,ISM,20,1999,1,29,1.5786090522882035e-15,8.881784197001252e-16,1.7099984688684344e-05
87,DI,20,1999,1,30,1.2669572600062368e-15,8.881784197001252e-16,0.00018370000179857016
88,WMI,20,1999,1,30,1.5785821891503182e-15,8.881784197001252e-16,1.3200013199821115e-05
89,ISM,20,1999,1,30,1.5786090522882035e-15,8.881784197001252e-16,1.0399991879239678e-05
90,DI,20,1999,1,31,1.2669572600062368e-15,8.881784197001252e-16,0.00013189998571760952
91,WMI,20,1999,1,31,1.5785821891503182e-15,8.881784197001252e-16,3.6299985367804766e-05
92,ISM,20,1999,1,31,1.5786090522882035e-15,8.881784197001252e-16,2.8600014047697186e-05
93,DI,20,1999,1,32,1.2669572600062368e-15,8.881784197001252e-16,0.00016029999824240804
94,WMI,20,1999,1,32,1.5785821891503182e-15,8.881784197001252e-16,1.300001167692244e-05
95,ISM,20,1999,1,32,1.5786090522882035e-15,8.881784197001252e-16,1.1199997970834374e-05
96,DI,20,1999,1,33,1.2669572600062368e-15,8.881784197001252e-16,0.00010649999603629112
97,WMI,20,1999,1,33,1.5785821891503182e-15,8.881784197001252e-16,3.559998003765941e-05
98,ISM,20,1999,1,33,1.5786090522882035e-15,8.881784197001252e-16,2.820001100189984e-05
99,DI,20,1999,1,34,1.2669572600062368e-15,8.881784197001252e-16,0.0001464999804738909
100,WMI,20,1999,1,34,1.5785821891503182e-15,8.881784197001252e-16,1.379998866468668e-05
101,ISM,20,1999,1,34,1.5786090522882035e-15,8.881784197001252e-16,1.379998866468668e-05
102,DI,20,1999,1,35,1.2669572600062368e-15,8.881784197001252e-16,0.00011480000102892518
103,WMI,20,1999,1,35,1.5785821891503182e-15,8.881784197001252e-16,3.559998003765941e-05
104,ISM,20,1999,1,35,1.5786090522882035e-15,8.881784197001252e-16,2.829998265951872e-05
105,DI,20,1999,1,36,1.2669572600062368e-15,8.881784197001252e-16,0.00012209999840706587
106,WMI,20,1999,1,36,1.5785821891503182e-15,8.881784197001252e-16,1.3600016245618463e-05
107,ISM,20,1999,1,36,1.5786090522882035e-15,8.881784197001252e-16,1.0099989594891667e-05
108,DI,20,1999,1,37,1.2669572600062368e-15,8.881784197001252e-16,0.00045209997915662825
109,WMI,20,1999,1,37,1.5785821891503182e-15,8.881784197001252e-16,2.9399991035461426e-05
110,ISM,20,1999,1,37,1.5786090522882035e-15,8.881784197001252e-16,2.2199994418770075e-05
111,DI,20,1999,1,38,1.2669572600062368e-15,8.881784197001252e-16,0.00018420000560581684
112,WMI,20,1999,1,38,1.5785821891503182e-15,8.881784197001252e-16,3.819999983534217e-05
113,ISM,20,1999,1,38,1.5786090522882035e-15,8.881784197001252e-16,2.8999987989664078e-05
114,DI,20,1999,1,39,1.2669572600062368e-15,8.881784197001252e-16,0.00019759999122470617
115,WMI,20,1999,1,39,1.5785821891503182e-15,8.881784197001252e-16,3.57000099029392e-05
116,ISM,20,1999,1,39,1.5786090522882035e-15,8.881784197001252e-16,2.8099981136620045e-05
117,DI,20,1999,1,40,1.2669572600062368e-15,8.881784197001252e-16,0.00019810002413578331
118,WMI,20,1999,1,40,1.5785821891503182e-15,8.881784197001252e-16,1.7799990018829703e-05
119,ISM,20,1999,1,40,1.5786090522882035e-15,8.881784197001252e-16,1.2899981811642647e-05
120,DI,20,1999,1,41,1.2669572600062368e-15,8.881784197001252e-16,0.00014109999756328762
