,method,s,N,k,iter,error,diff_max,time
0,DI,50,1999,1,1,2.27335396719921e-15,6.661338147750939e-16,0.0004091000009793788
1,WMI,50,1999,1,1,2.898484247387971e-15,1.1102230246251565e-15,5.6500022765249014e-05
2,ISM,50,1999,1,1,2.8986612585996905e-15,1.1102230246251565e-15,4.789998638443649e-05
3,DI,50,1999,1,2,2.27335396719921e-15,6.661338147750939e-16,0.0004206000012345612
4,WMI,50,1999,1,2,2.898484247387971e-15,1.1102230246251565e-15,3.239998477511108e-05
5,ISM,50,1999,1,2,2.8986612585996905e-15,1.1102230246251565e-15,2.409997978247702e-05
6,DI,50,1999,1,3,2.27335396719921e-15,6.661338147750939e-16,0.0003327000013086945
7,WMI,50,1999,1,3,2.898484247387971e-15,1.1102230246251565e-15,3.060000017285347e-05
8,ISM,50,1999,1,3,2.8986612585996905e-15,1.1102230246251565e-15,2.4299981305375695e-05
9,DI,50,1999,1,4,2.27335396719921e-15,6.661338147750939e-16,0.00035829999251291156
10,WMI,50,1999,1,4,2.898484247387971e-15,1.1102230246251565e-15,2.370000584051013e-05
11,ISM,50,1999,1,4,2.8986612585996905e-15,1.1102230246251565e-15,1.920000067912042e-05
12,DI,50,1999,1,5,2.27335396719921e-15,6.661338147750939e-16,0.0003254999755881727
13,WMI,50,1999,1,5,2.898484247387971e-15,1.1102230246251565e-15,2.6900001103058457e-05
14,ISM,50,1999,1,5,2.8986612585996905e-15,1.1102230246251565e-15,2.120001590810716e-05
15,DI,50,1999,1,6,2.27335396719921e-15,6.661338147750939e-16,0.00036929998896084726
16,WMI,50,1999,1,6,2.898484247387971e-15,1.1102230246251565e-15,2.0000006770715117e-05
17,ISM,50,1999,1,6,2.8986612585996905e-15,1.1102230246251565e-15,1.650000922381878e-05
18,DI,50,1999,1,7,2.27335396719921e-15,6.661338147750939e-16,0.0003544999926816672
19,WMI,50,1999,1,7,2.898484247387971e-15,1.1102230246251565e-15,2.4200009647756815e-05
20,ISM,50,1999,1,7,2.8986612585996905e-15,1.1102230246251565e-15,1.8999999156221747e-05
21,DI,50,1999,1,8,2.27335396719921e-15,6.661338147750939e-16,0.00032309998641721904
22,WMI,50,1999,1,8,2.898484247387971e-15,1.1102230246251565e-15,2.340000355616212e-05
23,ISM,50,1999,1,8,2.8986612585996905e-15,1.1102230246251565e-15,1.7299986211583018e-05
24,DI,50,1999,1,9,2.27335396719921e-15,6.661338147750939e-16,0.0003341999836266041
25,WMI,50,1999,1,9,2.898484247387971e-15,1.1102230246251565e-15,2.0499981474131346e-05
26,ISM,50,1999,1,9,2.8986612585996905e-15,1.1102230246251565e-15,1.759998849593103e-05
27,DI,50,1999,1,10,2.27335396719921e-15,6.661338147750939e-16,0.0002834000042639673
28,WMI,50,1999,1,10,2.898484247387971e-15,1.1102230246251565e-15,2.2100022761151195e-05
29,ISM,50,1999,1,10,2.8986612585996905e-15,1.1102230246251565e-15,1.750001683831215e-05
30,DI,50,1999,1,11,2.27335396719921e-15,6.661338147750939e-16,0.00033090001670643687
31,WMI,50,1999,1,11,2.898484247387971e-15,1.1102230246251565e-15,1.8399994587525725e-05
32,ISM,50,1999,1,11,2.8986612585996905e-15,1.1102230246251565e-15,1.580000389367342e-05
33,DI,50,1999,1,12,2.27335396719921e-15,6.661338147750939e-16,0.00030139999580569565
34,WMI,50,1999,1,12,2.898484247387971e-15,1.1102230246251565e-15,1.7299986211583018e-05
35,ISM,50,1999,1,12,2.8986612585996905e-15,1.1102230246251565e-15,1.5099998563528061e-05
36,DI,50,1999,1,13,2.27335396719921e-15,6.661338147750939e-16,0.00030250000418163836
37,WMI,50,1999,1,13,2.898484247387971e-15,1.1102230246251565e-15,2.0800012862309813e-05
38,ISM,50,1999,1,13,2.8986612585996905e-15,1.1102230246251565e-15,1.689998316578567e-05
39,DI,50,1999,1,14,2.27335396719921e-15,6.661338147750939e-16,0.0003361999988555908
40,WMI,50,1999,1,14,2.898484247387971e-15,1.1102230246251565e-15,1.990000600926578e-05
41,ISM,50,1999,1,14,2.8986612585996905e-15,1.1102230246251565e-15,1.6300007700920105e-05
42,DI,50,1999,1,15,2.27335396719921e-15,6.661338147750939e-16,0.00027329998556524515
43,WMI,50,1999,1,15,2.898484247387971e-15,1.1102230246251565e-15,1.9500002963468432e-05
44,ISM,50,1999,1,15,2.8986612585996905e-15,1.1102230246251565e-15,1.6999983927235007e-05
45,DI,50,1999,1,16,2.27335396719921e-15,6.661338147750939e-16,0.0005457999941427261
46,WMI,50,1999,1,16,2.898484247387971e-15,1.1102230246251565e-15,2.19999928958714e-05
47,ISM,50,1999,1,16,2.8986612585996905e-15,1.1102230246251565e-15,1.819999306462705e-05
48,DI,50,1999,1,17,2.27335396719921e-15,6.661338147750939e-16,0.000239099987084046
49,WMI,50,1999,1,17,2.898484247387971e-15,1.1102230246251565e-15,2.3100001271814108e-05
50,ISM,50,1999,1,17,2.8986612585996905e-15,1.1102230246251565e-15,1.8799997633323073e-05
51,DI,50,1999,1,18,2.27335396719921e-15,6.661338147750939e-16,0.0003375999804120511
52,WMI,50,1999,1,18,2.898484247387971e-15,1.1102230246251565e-15,2.400000812485814e-05
53,ISM,50,1999,1,18,2.8986612585996905e-15,1.1102230246251565e-15,1.889999839477241e-05
54,DI,50,1999,1,19,2.27335396719921e-15,6.661338147750939e-16,0.00022620000527240336
55,WMI,50,1999,1,19,2.898484247387971e-15,1.1102230246251565e-15,1.8200022168457508e-05
56,ISM,50,1999,1,19,2.8986612585996905e-15,1.1102230246251565e-15,2.3600005079060793e-05
57,DI,50,1999,1,20,2.27335396719921e-15,6.661338147750939e-16,0.0002798999776132405
58,WMI,50,1999,1,20,2.898484247387971e-15,1.1102230246251565e-15,2.8499984182417393e-05
59,ISM,50,1999,1,20,2.8986612585996905e-15,1.1102230246251565e-15,1.990000600926578e-05
60,DI,50,1999,1,21,2.27335396719921e-15,6.661338147750939e-16,0.0002665999927558005
61,WMI,50,1999,1,21,2.898484247387971e-15,1.1102230246251565e-15,2.160001895390451e-05
62,ISM,50,1999,1,21,2.8986612585996905e-15,1.1102230246251565e-15,1.7200014553964138e-05
63,DI,50,1999,1,22,2.27335396719921e-15,6.661338147750939e-16,0.0002589999930933118
64,WMI,50,1999,1,22,2.898484247387971e-15,1.1102230246251565e-15,2.0800012862309813e-05
65,ISM,50,1999,1,22,2.8986612585996905e-15,1.1102230246251565e-15,1.6699981642886996e-05
66,DI,50,1999,1,23,2.27335396719921e-15,6.661338147750939e-16,0.0005031999899074435
67,WMI,50,1999,1,23,2.898484247387971e-15,1.1102230246251565e-15,2.1299987565726042e-05
68,ISM,50,1999,1,23,2.8986612585996905e-15,1.1102230246251565e-15,1.7799990018829703e-05
69,DI,50,1999,1,24,2.27335396719921e-15,6.661338147750939e-16,0.00022029998945072293
70,WMI,50,1999,1,24,2.898484247387971e-15,1.1102230246251565e-15,8.499997784383595e-05
71,ISM,50,1999,1,24,2.8986612585996905e-15,1.1102230246251565e-15,1.6299978597089648e-05
72,DI,50,1999,1,25,2.27335396719921e-15,6.661338147750939e-16,0.0006148999964352697
73,WMI,50,1999,1,25,2.898484247387971e-15,1.1102230246251565e-15,2.710000262595713e-05
74,ISM,50,1999,1,25,2.8986612585996905e-15,1.1102230246251565e-15,2.239999594166875e-05
75,DI,50,1999,1,26,2.27335396719921e-15,6.661338147750939e-16,0.0002880000101868063
76,WMI,50,1999,1,26,2.898484247387971e-15,1.1102230246251565e-15,2.4599983589723706e-05
77,ISM,50,1999,1,26,2.8986612585996905e-15,1.1102230246251565e-15,1.8999999156221747e-05
78,DI,50,1999,1,27,2.27335396719921e-15,6.661338147750939e-16,0.00026130001060664654
79,WMI,50,1999,1,27,2.898484247387971e-15,1.1102230246251565e-15,2.039998071268201e-05
80,ISM,50,1999,1,27,2.8986612585996905e-15,1.1102230246251565e-15,1.7000013031065464e-05
81,DI,50,1999,1,28,2.27335396719921e-15,6.661338147750939e-16,0.0002710999979171902
82,WMI,50,1999,1,28,2.898484247387971e-15,1.1102230246251565e-15,2.0799983758479357e-05
83,ISM,50,1999,1,28,2.8986612585996905e-15,1.1102230246251565e-15,1.650000922381878e-05
84,DI,50,1999,1,29,2.27335396719921e-15,6.661338147750939e-16,0.00027749998844228685
85,WMI,50,1999,1,29,2.898484247387971e-15,1.1102230246251565e-15,1.7799990018829703e-05
86,ISM,50,1999,1,29,2.8986612585996905e-15,1.1102230246251565e-15,1.5799974789842963e-05
87,DI,50,1999,1,30,2.27335396719921e-15,6.661338147750939e-16,0.00027910000062547624
88,WMI,50,1999,1,30,2.898484247387971e-15,1.1102230246251565e-15,1.9700004486367106e-05
89,ISM,50,1999,1,30,2.8986612585996905e-15,1.1102230246251565e-15,1.619997783564031e-05
90,DI,50,1999,1,31,2.27335396719921e-15,6.661338147750939e-16,0.0003100000030826777
91,WMI,50,1999,1,31,2.898484247387971e-15,1.1102230246251565e-15,1.990000600926578e-05
92,ISM,50,1999,1,31,2.8986612585996905e-15,1.1102230246251565e-15,1.689998316578567e-05
93,DI,50,1999,1,32,2.27335396719921e-15,6.661338147750939e-16,0.00026500000967644155
94,WMI,50,1999,1,32,2.898484247387971e-15,1.1102230246251565e-15,2.030000905506313e-05
95,ISM,50,1999,1,32,2.8986612585996905e-15,1.1102230246251565e-15,1.6600009985268116e-05
96,DI,50,1999,1,33,2.27335396719921e-15,6.661338147750939e-16,0.00031090000993572176
97,WMI,50,1999,1,33,2.898484247387971e-15,1.1102230246251565e-15,2.4100008886307478e-05
98,ISM,50,1999,1,33,2.8986612585996905e-15,1.1102230246251565e-15,1.889999839477241e-05
99,DI,50,1999,1,34,2.27335396719921e-15,6.661338147750939e-16,0.0003288000007160008
100,WMI,50,1999,1,34,2.898484247387971e-15,1.1102230246251565e-15,2.0500010577961802e-05
101,ISM,50,1999,1,34,2.8986612585996905e-15,1.1102230246251565e-15,1.659998088143766e-05
102,DI,50,1999,1,35,2.27335396719921e-15,6.661338147750939e-16,0.0003124999930150807
103,WMI,50,1999,1,35,2.898484247387971e-15,1.1102230246251565e-15,1.9500002963468432e-05
104,ISM,50,1999,1,35,2.8986612585996905e-15,1.1102230246251565e-15,1.6300007700920105e-05
105,DI,50,1999,1,36,2.27335396719921e-15,6.661338147750939e-16,0.0003046999918296933
106,WMI,50,1999,1,36,2.898484247387971e-15,1.1102230246251565e-15,2.060001133941114e-05
107,ISM,50,1999,1,36,2.8986612585996905e-15,1.1102230246251565e-15,1.6300007700920105e-05
108,DI,50,1999,1,37,2.27335396719921e-15,6.661338147750939e-16,0.0002997000119648874
109,WMI,50,1999,1,37,2.898484247387971e-15,1.1102230246251565e-15,2.0400009816512465e-05
110,ISM,50,1999,1,37,2.8986612585996905e-15,1.1102230246251565e-15,1.6699981642886996e-05
111,DI,50,1999,1,38,2.27335396719921e-15,6.661338147750939e-16,0.00027489999774843454
112,WMI,50,1999,1,38,2.898484247387971e-15,1.1102230246251565e-15,1.8300022929906845e-05
113,ISM,50,1999,1,38,2.8986612585996905e-15,1.1102230246251565e-15,1.6000005416572094e-05
114,DI,50,1999,1,39,2.27335396719921e-15,6.661338147750939e-16,0.000295600009849295
115,WMI,50,1999,1,39,2.898484247387971e-15,1.1102230246251565e-15,2.069998299703002e-05
116,ISM,50,1999,1,39,2.8986612585996905e-15,1.1102230246251565e-15,1.659998088143766e-05
117,DI,50,1999,1,40,2.27335396719921e-15,6.661338147750939e-16,0.00029799999902024865
118,WMI,50,1999,1,40,2.898484247387971e-15,1.1102230246251565e-15,1.8399994587525725e-05
119,ISM,50,1999,1,40,2.8986612585996905e-15,1.1102230246251565e-15,1.5700003132224083e-05
120,DI,50,1999,1,41,2.27335396719921e-15,6.661338147750939e-16,0.0002789999998640269
121,WMI,50,1999,1,41,2.898484247387971e-15,1.1102230246251565e-15,1.7300015315413475e-05
122,ISM,50,1999,1,41,2.8986612585996905e-15,1.1102230246251565e-15,1.5199999324977398e-05
123,DI,50,1999,1,42,2.27335396719921e-15,6.661338147750939e-16,0.000298099999781698
124,WMI,50,1999,1,42,2.898484247387971e-15,1.1102230246251565e-15,2.030000905506313e-05
125,ISM,50,1999,1,42,2.8986612585996905e-15,1.1102230246251565e-15,1.6300007700920105e-05
126,DI,50,1999,1,43,2.27335396719921e-15,6.661338147750939e-16,0.00031030000536702573
127,WMI,50,1999,1,43,2.898484247387971e-15,1.1102230246251565e-15,1.819999306462705e-05
128,ISM,50,1999,1,43,2.8986612585996905e-15,1.1102230246251565e-15,1.5199999324977398e-05
129,DI,50,1999,1,44,2.27335396719921e-15,6.661338147750939e-16,0.00025200002710334957
130,WMI,50,1999,1,44,2.898484247387971e-15,1.1102230246251565e-15,2.0400009816512465e-05
131,ISM,50,1999,1,44,2.8986612585996905e-15,1.1102230246251565e-15,1.659998088143766e-05
132,DI,50,1999,1,45,2.27335396719921e-15,6.661338147750939e-16,0.0002665999927558005
133,WMI,50,1999,1,45,2.898484247387971e-15,1.1102230246251565e-15,2.0100007532164454e-05
134,ISM,50,1999,1,45,2.8986612585996905e-15,1.1102230246251565e-15,1.6799982404336333e-05
135,DI,50,1999,1,46,2.27335396719921e-15,6.661338147750939e-16,0.00028219999512657523
136,WMI,50,1999,1,46,2.898484247387971e-15,1.1102230246251565e-15,1.960000372491777e-05
137,ISM,50,1999,1,46,2.8986612585996905e-15,1.1102230246251565e-15,1.6400008462369442e-05
138,DI,50,1999,1,47,2.27335396719921e-15,6.661338147750939e-16,0.0002967999898828566
139,WMI,50,1999,1,47,2.898484247387971e-15,1.1102230246251565e-15,1.8399994587525725e-05
140,ISM,50,1999,1,47,2.8986612585996905e-15,1.1102230246251565e-15,1.5199999324977398e-05
141,DI,50,1999,1,48,2.27335396719921e-15,6.661338147750939e-16,0.00027600000612437725
142,WMI,50,1999,1,48,2.898484247387971e-15,1.1102230246251565e-15,0.00010850001126527786
143,ISM,50,1999,1,48,2.8986612585996905e-15,1.1102230246251565e-15,1.8399994587525725e-05
144,DI,50,1999,1,49,2.27335396719921e-15,6.661338147750939e-16,0.0003009999927598983
145,WMI,50,1999,1,49,2.898484247387971e-15,1.1102230246251565e-15,2.169999061152339e-05
146,ISM,50,1999,1,49,2.8986612585996905e-15,1.1102230246251565e-15,1.7699989257380366e-05
147,DI,50,1999,1,50,2.27335396719921e-15,6.661338147750939e-16,0.00029850000282749534
148,WMI,50,1999,1,50,2.898484247387971e-15,1.1102230246251565e-15,2.090001362375915e-05
149,ISM,50,1999,1,50,2.8986612585996905e-15,1.1102230246251565e-15,1.6000005416572094e-05
150,DI,50,1999,1,51,2.27335396719921e-15,6.661338147750939e-16,0.0002744999947026372
151,WMI,50,1999,1,51,2.898484247387971e-15,1.1102230246251565e-15,1.8399994587525725e-05
152,ISM,50,1999,1,51,2.8986612585996905e-15,1.1102230246251565e-15,1.5400000847876072e-05
153,DI,50,1999,1,52,2.27335396719921e-15,6.661338147750939e-16,0.0002683999773580581
154,WMI,50,1999,1,52,2.898484247387971e-15,1.1102230246251565e-15,1.7099984688684344e-05
155,ISM,50,1999,1,52,2.8986612585996905e-15,1.1102230246251565e-15,1.4999997802078724e-05
156,DI,50,1999,1,53,2.27335396719921e-15,6.661338147750939e-16,0.00030010001501068473
157,WMI,50,1999,1,53,2.898484247387971e-15,1.1102230246251565e-15,2.0400009816512465e-05
158,ISM,50,1999,1,53,2.8986612585996905e-15,1.1102230246251565e-15,1.6300007700920105e-05
159,DI,50,1999,1,54,2.27335396719921e-15,6.661338147750939e-16,0.00027990000671707094
160,WMI,50,1999,1,54,2.898484247387971e-15,1.1102230246251565e-15,1.789999078027904e-05
161,ISM,50,1999,1,54,2.8986612585996905e-15,1.1102230246251565e-15,1.5400000847876072e-05
162,DI,50,1999,1,55,2.27335396719921e-15,6.661338147750939e-16,0.00030559999868273735
163,WMI,50,1999,1,55,2.898484247387971e-15,1.1102230246251565e-15,1.920000067912042e-05
164,ISM,50,1999,1,55,2.8986612585996905e-15,1.1102230246251565e-15,1.6299978597089648e-05
165,DI,50,1999,1,56,2.27335396719921e-15,6.661338147750939e-16,0.0002989000058732927
166,WMI,50,1999,1,56,2.898484247387971e-15,1.1102230246251565e-15,1.9400002202019095e-05
167,ISM,50,1999,1,56,2.8986612585996905e-15,1.1102230246251565e-15,1.610000617802143e-05
168,DI,50,1999,1,57,2.27335396719921e-15,6.661338147750939e-16,0.0002750999992713332
169,WMI,50,1999,1,57,2.898484247387971e-15,1.1102230246251565e-15,2.0100007532164454e-05
170,ISM,50,1999,1,57,2.8986612585996905e-15,1.1102230246251565e-15,1.6400008462369442e-05
171,DI,50,1999,1,58,2.27335396719921e-15,6.661338147750939e-16,0.00029039999935775995
172,WMI,50,1999,1,58,2.898484247387971e-15,1.1102230246251565e-15,1.990000600926578e-05
173,ISM,50,1999,1,58,2.8986612585996905e-15,1.1102230246251565e-15,1.6700010746717453e-05
174,DI,50,1999,1,59,2.27335396719921e-15,6.661338147750939e-16,0.000308599992422387
175,WMI,50,1999,1,59,2.898484247387971e-15,1.1102230246251565e-15,1.829999382607639e-05
176,ISM,50,1999,1,59,2.8986612585996905e-15,1.1102230246251565e-15,1.6399979358538985e-05
177,DI,50,1999,1,60,2.27335396719921e-15,6.661338147750939e-16,0.00021680002100765705
178,WMI,50,1999,1,60,2.898484247387971e-15,1.1102230246251565e-15,1.6999983927235007e-05
179,ISM,50,1999,1,60,2.8986612585996905e-15,1.1102230246251565e-15,1.4899997040629387e-05
180,DI,50,1999,1,61,2.27335396719921e-15,6.661338147750939e-16,0.00020879998919554055
181,WMI,50,1999,1,61,2.898484247387971e-15,1.1102230246251565e-15,1.650000922381878e-05
182,ISM,50,1999,1,61,2.8986612585996905e-15,1.1102230246251565e-15,1.4599994756281376e-05
183,DI,50,1999,1,62,2.27335396719921e-15,6.661338147750939e-16,0.00020879998919554055
184,WMI,50,1999,1,62,2.898484247387971e-15,1.1102230246251565e-15,1.6300007700920105e-05
185,ISM,50,1999,1,62,2.8986612585996905e-15,1.1102230246251565e-15,1.4699995517730713e-05
186,DI,50,1999,1,63,2.27335396719921e-15,6.661338147750939e-16,0.00021349999587982893
187,WMI,50,1999,1,63,2.898484247387971e-15,1.1102230246251565e-15,0.00010800000745803118
188,ISM,50,1999,1,63,2.8986612585996905e-15,1.1102230246251565e-15,3.060000017285347e-05
189,DI,50,1999,1,64,2.27335396719921e-15,6.661338147750939e-16,0.0005346000252757221
190,WMI,50,1999,1,64,2.898484247387971e-15,1.1102230246251565e-15,2.7400004910305142e-05
191,ISM,50,1999,1,64,2.8986612585996905e-15,1.1102230246251565e-15,2.0299979951232672e-05
192,DI,50,1999,1,65,2.27335396719921e-15,6.661338147750939e-16,0.0002196999848820269
193,WMI,50,1999,1,65,2.898484247387971e-15,1.1102230246251565e-15,1.9400002202019095e-05
194,ISM,50,1999,1,65,2.8986612585996905e-15,1.1102230246251565e-15,1.680001150816679e-05
195,DI,50,1999,1,66,2.27335396719921e-15,6.661338147750939e-16,0.00021510000806301832
196,WMI,50,1999,1,66,2.898484247387971e-15,1.1102230246251565e-15,1.810002140700817e-05
197,ISM,50,1999,1,66,2.8986612585996905e-15,1.1102230246251565e-15,1.550000160932541e-05
198,DI,50,1999,1,67,2.27335396719921e-15,6.661338147750939e-16,0.00020519999088719487
199,WMI,50,1999,1,67,2.898484247387971e-15,1.1102230246251565e-15,1.6900012269616127e-05
200,ISM,50,1999,1,67,2.8986612585996905e-15,1.1102230246251565e-15,1.4999997802078724e-05
201,DI,50,1999,1,68,2.27335396719921e-15,6.661338147750939e-16,0.00020069998572580516
202,WMI,50,1999,1,68,2.898484247387971e-15,1.1102230246251565e-15,1.6200006939470768e-05
203,ISM,50,1999,1,68,2.8986612585996905e-15,1.1102230246251565e-15,1.4800025383010507e-05
204,DI,50,1999,1,69,2.27335396719921e-15,6.661338147750939e-16,0.00020059998496435583
205,WMI,50,1999,1,69,2.898484247387971e-15,1.1102230246251565e-15,1.6300007700920105e-05
206,ISM,50,1999,1,69,2.8986612585996905e-15,1.1102230246251565e-15,1.479999627918005e-05
207,DI,50,1999,1,70,2.27335396719921e-15,6.661338147750939e-16,0.00020149999181739986
208,WMI,50,1999,1,70,2.898484247387971e-15,1.1102230246251565e-15,1.5700003132224083e-05
209,ISM,50,1999,1,70,2.8986612585996905e-15,1.1102230246251565e-15,1.4500023098662496e-05
210,DI,50,1999,1,71,2.27335396719921e-15,6.661338147750939e-16,0.00020139999105595052
211,WMI,50,1999,1,71,2.898484247387971e-15,1.1102230246251565e-15,1.6200006939470768e-05
212,ISM,50,1999,1,71,2.8986612585996905e-15,1.1102230246251565e-15,1.4499993994832039e-05
213,DI,50,1999,1,72,2.27335396719921e-15,6.661338147750939e-16,0.00020199999562464654
214,WMI,50,1999,1,72,2.898484247387971e-15,1.1102230246251565e-15,1.6200006939470768e-05
215,ISM,50,1999,1,72,2.8986612585996905e-15,1.1102230246251565e-15,1.4499993994832039e-05
216,DI,50,1999,1,73,2.27335396719921e-15,6.661338147750939e-16,0.00020089998724870384
217,WMI,50,1999,1,73,2.898484247387971e-15,1.1102230246251565e-15,1.6200006939470768e-05
218,ISM,50,1999,1,73,2.8986612585996905e-15,1.1102230246251565e-15,1.4800025383010507e-05
219,DI,50,1999,1,74,2.27335396719921e-15,6.661338147750939e-16,0.00020459998631849885
220,WMI,50,1999,1,74,2.898484247387971e-15,1.1102230246251565e-15,1.6000005416572094e-05
221,ISM,50,1999,1,74,2.8986612585996905e-15,1.1102230246251565e-15,1.4599994756281376e-05
222,DI,50,1999,1,75,2.27335396719921e-15,6.661338147750939e-16,0.0001996000064536929
223,WMI,50,1999,1,75,2.898484247387971e-15,1.1102230246251565e-15,1.5900004655122757e-05
224,ISM,50,1999,1,75,2.8986612585996905e-15,1.1102230246251565e-15,1.4699995517730713e-05
225,DI,50,1999,1,76,2.27335396719921e-15,6.661338147750939e-16,0.0001991999743040651
226,WMI,50,1999,1,76,2.898484247387971e-15,1.1102230246251565e-15,1.610000617802143e-05
227,ISM,50,1999,1,76,2.8986612585996905e-15,1.1102230246251565e-15,1.5400000847876072e-05
228,DI,50,1999,1,77,2.27335396719921e-15,6.661338147750939e-16,0.00019970000721514225
229,WMI,50,1999,1,77,2.898484247387971e-15,1.1102230246251565e-15,1.5900004655122757e-05
230,ISM,50,1999,1,77,2.8986612585996905e-15,1.1102230246251565e-15,1.4499993994832039e-05
231,DI,50,1999,1,78,2.27335396719921e-15,6.661338147750939e-16,0.00020039998344145715
232,WMI,50,1999,1,78,2.898484247387971e-15,1.1102230246251565e-15,1.610000617802143e-05
233,ISM,50,1999,1,78,2.8986612585996905e-15,1.1102230246251565e-15,1.4599994756281376e-05
234,DI,50,1999,1,79,2.27335396719921e-15,6.661338147750939e-16,0.0002004999842029065
