,method,s,N,k,iter,error,diff_max,time
0,DI,750,1999,1,1,3.122969148184711e-14,2.6645352591003757e-15,0.026576100033707917
1,WMI,750,1999,1,1,3.147305046110638e-14,1.9984014443252818e-15,0.0032898999634198844
2,ISM,750,1999,1,1,3.14699983522679e-14,1.9984014443252818e-15,0.0024407999590039253
3,DI,750,1999,1,2,3.122969148184711e-14,2.6645352591003757e-15,0.029857700050342828
4,WMI,750,1999,1,2,3.147305046110638e-14,1.9984014443252818e-15,0.0031835000263527036
5,ISM,750,1999,1,2,3.14699983522679e-14,1.9984014443252818e-15,0.0035330000100657344
6,DI,750,1999,1,3,3.122969148184711e-14,2.6645352591003757e-15,0.02652349998243153
7,WMI,750,1999,1,3,3.147305046110638e-14,1.9984014443252818e-15,0.003013300010934472
8,ISM,750,1999,1,3,3.14699983522679e-14,1.9984014443252818e-15,0.003181600011885166
9,DI,750,1999,1,4,3.122969148184711e-14,2.6645352591003757e-15,0.023703800048679113
10,WMI,750,1999,1,4,3.147305046110638e-14,1.9984014443252818e-15,0.003485499997623265
11,ISM,750,1999,1,4,3.14699983522679e-14,1.9984014443252818e-15,0.0029932999750599265
12,DI,750,1999,1,5,3.122969148184711e-14,2.6645352591003757e-15,0.023103700019419193
13,WMI,750,1999,1,5,3.147305046110638e-14,1.9984014443252818e-15,0.0022613999899476767
14,ISM,750,1999,1,5,3.14699983522679e-14,1.9984014443252818e-15,0.0023536999942734838
15,DI,750,1999,1,6,3.122969148184711e-14,2.6645352591003757e-15,0.021233799983747303
16,WMI,750,1999,1,6,3.147305046110638e-14,1.9984014443252818e-15,0.00224470003740862
17,ISM,750,1999,1,6,3.14699983522679e-14,1.9984014443252818e-15,0.002195300010498613
18,DI,750,1999,1,7,3.122969148184711e-14,2.6645352591003757e-15,0.021780100010801107
19,WMI,750,1999,1,7,3.147305046110638e-14,1.9984014443252818e-15,0.003031899977941066
20,ISM,750,1999,1,7,3.14699983522679e-14,1.9984014443252818e-15,0.00344330002553761
21,DI,750,1999,1,8,3.122969148184711e-14,2.6645352591003757e-15,0.022954899992328137
22,WMI,750,1999,1,8,3.147305046110638e-14,1.9984014443252818e-15,0.0022621999960392714
23,ISM,750,1999,1,8,3.14699983522679e-14,1.9984014443252818e-15,0.002207399986218661
24,DI,750,1999,1,9,3.122969148184711e-14,2.6645352591003757e-15,0.020731500000692904
25,WMI,750,1999,1,9,3.147305046110638e-14,1.9984014443252818e-15,0.0021957000135444105
26,ISM,750,1999,1,9,3.14699983522679e-14,1.9984014443252818e-15,0.002129300031810999
27,DI,750,1999,1,10,3.122969148184711e-14,2.6645352591003757e-15,0.02135709999129176
28,WMI,750,1999,1,10,3.147305046110638e-14,1.9984014443252818e-15,0.002339300001040101
29,ISM,750,1999,1,10,3.14699983522679e-14,1.9984014443252818e-15,0.002179300005082041
30,DI,750,1999,1,11,3.122969148184711e-14,2.6645352591003757e-15,0.020344800024759024
31,WMI,750,1999,1,11,3.147305046110638e-14,1.9984014443252818e-15,0.0021992999827489257
32,ISM,750,1999,1,11,3.14699983522679e-14,1.9984014443252818e-15,0.002201800001785159
33,DI,750,1999,1,12,3.122969148184711e-14,2.6645352591003757e-15,0.019969899964053184
34,WMI,750,1999,1,12,3.147305046110638e-14,1.9984014443252818e-15,0.0030543000320903957
35,ISM,750,1999,1,12,3.14699983522679e-14,1.9984014443252818e-15,0.002983100013807416
